Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Fix,Letter
1665800906.4766283,0,8908,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800907.480911,0,8909,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800908.478136,0,8910,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800909.4894218,0,8911,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800910.4799764,0,8912,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800911.4778721,0,8913,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800912.4973779,0,8914,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800913.496681,0,8915,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800914.49409,0,8916,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800915.4777493,0,8917,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800916.495548,0,8918,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800917.4837003,0,8918,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800918.4918995,0,8920,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800919.490421,0,8921,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800920.4822233,0,8921,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800921.4940085,0,8923,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800922.4860034,0,8924,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800923.498876,0,8924,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800924.4872315,0,8926,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800925.5017657,0,8927,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800926.4915164,0,8927,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800927.50447,0,8929,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800928.4916987,0,8930,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800929.4887395,0,8931,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800930.501767,0,8932,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800931.4957168,0,8933,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800932.4958768,0,8934,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800933.493523,0,8935,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800934.5072477,0,8936,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800935.5023699,0,8937,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800936.4935799,0,8938,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800937.4948606,0,8939,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800938.5066795,0,8940,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800939.5044854,0,8941,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800940.49751,0,8942,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800941.5077744,0,8943,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800942.498942,0,8944,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800943.5130692,0,8945,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800944.5032697,0,8946,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800945.5025513,0,8947,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800946.5087833,0,8948,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800947.4963477,0,8949,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800948.5020576,0,8950,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800949.4955695,0,8951,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800950.5112026,0,8952,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800951.5012076,0,8953,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800952.4933972,0,8953,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800953.509167,0,8955,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800954.5194035,0,8956,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800955.5151577,0,8956,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800956.509506,0,8958,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800957.5012884,0,8959,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800958.5134857,0,8959,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800959.5161302,0,8961,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800960.5097127,0,8962,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800961.5040872,0,8962,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800962.5133739,0,8964,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800963.5028074,0,8965,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800964.514707,0,8966,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800966.0111654,0,8967,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800966.5190356,0,8968,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800967.5064974,0,8969,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
