Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,GNSS_fix_quality
1665805047.1086507,0,13047,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805048.1001499,0,13048,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805049.1136432,0,13049,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805050.0928512,0,13050,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805051.1089272,0,13051,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805052.101103,0,13052,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805053.1136584,0,13053,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805054.098064,0,13054,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805055.1146605,0,13055,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805056.0892248,0,13056,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
1665805057.1057003,0,13057,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805058.1012454,0,13058,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
